gameId,game_date,teamId,teamCity,teamName,teamTricode,personId,personName,position,minutes,fieldGoalsMade,fieldGoalsAttempted,threePointersMade,threePointersAttempted,freeThrowsMade,freeThrowsAttempted,reboundsOffensive,reboundsDefensive,reboundsTotal,assists,steals,blocks,turnovers,foulsPersonal,points,plusMinusPoints
2025-07-25-001,2025-07-25,1001,Boston,Celtics,BOS,1,Jason Wingard,G,34:15,9,17,3,7,4,5,1,5,6,8,2,1,3,2,25,12
2025-07-25-001,2025-07-25,1001,Boston,Celtics,BOS,2,Aaron Blake,F,32:30,7,14,1,4,3,4,2,7,9,5,1,1,2,3,18,8
2025-07-25-001,2025-07-25,1001,Boston,Celtics,BOS,3,Samuel O'Neil,C,28:45,5,10,0,1,2,3,3,8,11,2,0,2,1,2,12,6
2025-07-25-001,2025-07-25,1001,Boston,Celtics,BOS,4,Lucas Grant,G,30:00,6,11,2,5,1,2,0,4,4,6,2,0,2,2,15,5
2025-07-25-001,2025-07-25,1001,Boston,Celtics,BOS,5,Peter Collins,F,26:20,4,9,1,2,2,2,1,3,4,3,1,1,1,3,11,4
2025-07-25-001,2025-07-25,2001,Los Angeles,Lakers,LAL,6,Michael Young,G,36:10,10,18,4,8,5,6,1,4,5,9,2,1,3,2,29,-2
2025-07-25-001,2025-07-25,2001,Los Angeles,Lakers,LAL,7,Ryan Thompson,F,33:00,8,15,2,4,2,3,2,5,7,4,1,1,2,3,20,-4
2025-07-25-001,2025-07-25,2001,Los Angeles,Lakers,LAL,8,Chris Lee,C,29:50,5,12,0,0,1,2,4,7,11,3,0,3,2,2,11,-3
2025-07-25-001,2025-07-25,2001,Los Angeles,Lakers,LAL,9,Dave Harris,G,31:25,6,13,3,6,3,4,1,3,4,6,1,0,2,2,18,-1
2025-07-25-001,2025-07-25,2001,Los Angeles,Lakers,LAL,10,Tommy Brown,F,27:10,5,9,1,3,0,0,2,6,8,2,1,1,1,3,13,-2
